5.9999,11.154,11.65,12.102,10.422,5.9569,11.666,11.716,12.022,11.9
6.5263,5.9998,7.3313,7.8075,7.0212,5.885,7.4556,8.1936,7.6244,7.8071
5.3002,5.6284,5.9998,6.9407,6.1318,4.835,6.9088,7.2681,6.6501,6.9331
5.8687,6.2363,6.9821,5.9996,6.7536,5.4389,8.1814,7.9873,6.5652,7.9992
5.6631,6.9578,7.6147,8.179,5.9996,5.0881,8.2218,8.2565,8.1419,7.4541
6.6459,11.056,11.669,12.618,10.518,5.9999,11.247,11.576,11.644,12.075
6.8087,7.2482,8.4161,9.8308,8.1203,5.8741,5.9998,7.423,7.3283,7.3096
5.2159,6.2678,7.0808,7.7961,6.5988,4.6024,5.5869,5.9998,6.1,6.3689
6.7028,7.4968,8.2616,8.0793,8.4046,6.0816,7.3692,7.8533,5.9996,7.938
5.8517,6.4715,7.1405,8.1452,6.5907,5.3539,6.2623,7.1743,6.8659,5.9996
